"RA";"faixa_etaria";"Masculino";"Feminino"
"BRASÍLIA/PLANO PILOTO";"0 a 15 anos";13382,30200604;12426,98098616
"BRASÍLIA/PLANO PILOTO";"16 a 24 anos";12664,54178336;12857,70865724
"BRASÍLIA/PLANO PILOTO";"25 a 34 anos";17153,28991224;18150,98729148
"BRASÍLIA/PLANO PILOTO";"35 a 44 anos";15788,65082516;18216,249769
"BRASÍLIA/PLANO PILOTO";"45 a 59 anos";18403,96884928;22821,93372324
"BRASÍLIA/PLANO PILOTO";"60 anos ou mais";21241,69800408;26958,89161644
"GAMA";"0 a 15 anos";11996,68086601;10267,90152724
"GAMA";"16 a 24 anos";11420,42108642;10320,28877993
"GAMA";"25 a 34 anos";9272,54372613;9586,86724227
"GAMA";"35 a 44 anos";9744,02900034;11315,64658104
"GAMA";"45 a 59 anos";10739,38680145;13830,23471016
"GAMA";"60 anos ou mais";10372,67603262;15244,69053279
"TAGUATINGA";"0 a 15 anos";15122,2253735;15467,87623918
"TAGUATINGA";"16 a 24 anos";15381,46352276;14906,19358245
"TAGUATINGA";"25 a 34 anos";14776,57450782;15727,11438844
"TAGUATINGA";"35 a 44 anos";13610,00283615;14603,74907498
"TAGUATINGA";"45 a 59 anos";16936,89241832;23158,60800056
"TAGUATINGA";"60 anos ou mais";19831,71841839;27522,45017977
"BRAZLÂNDIA";"0 a 15 anos";5298,59142355;5688,67177375
"BRAZLÂNDIA";"16 a 24 anos";4030,8302854;4485,9240273
"BRAZLÂNDIA";"25 a 34 anos";3478,21645595;4193,36376465
"BRAZLÂNDIA";"35 a 44 anos";3900,803502;4420,9106356
"BRAZLÂNDIA";"45 a 59 anos";4420,9106356;4713,47089825
"BRAZLÂNDIA";"60 anos ou mais";3348,18967255;3835,7901103
"SOBRADINHO";"0 a 15 anos";5278,09572432;5989,13452656
"SOBRADINHO";"16 a 24 anos";4485,01398336;4785,838092
"SOBRADINHO";"25 a 34 anos";4813,18573824;5250,74807808
"SOBRADINHO";"35 a 44 anos";3856,01811984;5387,48630928
"SOBRADINHO";"45 a 59 anos";5305,44337056;6207,91569648
"SOBRADINHO";"60 anos ou mais";4785,838092;6618,13039008
"PLANALTINA";"0 a 15 anos";21057,59824904;20220,8724908
"PLANALTINA";"16 a 24 anos";20360,32678384;17362,05948348
"PLANALTINA";"25 a 34 anos";13875,70215748;13317,88498532
"PLANALTINA";"35 a 44 anos";13666,52071792;17292,33233696
"PLANALTINA";"45 a 59 anos";14991,3365018;18338,23953476
"PLANALTINA";"60 anos ou mais";9203,98334064;10807,7077106
"PARANOÁ";"0 a 15 anos";5006,2950714;4925,11190808
"PARANOÁ";"16 a 24 anos";4140,34132932;4275,64660152
"PARANOÁ";"25 a 34 anos";3923,8528938;4356,82976484
"PARANOÁ";"35 a 44 anos";2462,55595404;2895,53282508
"PARANOÁ";"45 a 59 anos";3139,08231504;4383,89081928
"PARANOÁ";"60 anos ou mais";2164,8843552;3301,44864168
"NÚCLEO BANDEIRANTE";"0 a 15 anos";2176,18798235;1753,4752088
"NÚCLEO BANDEIRANTE";"16 a 24 anos";1894,37946665;1988,31563855
"NÚCLEO BANDEIRANTE";"25 a 34 anos";1894,37946665;2285,7801829
"NÚCLEO BANDEIRANTE";"35 a 44 anos";1675,19506555;1988,31563855
"NÚCLEO BANDEIRANTE";"45 a 59 anos";1690,8510942;2457,99649805
"NÚCLEO BANDEIRANTE";"60 anos ou mais";1628,2269796;2129,2198964
"CEILÂNDIA";"0 a 15 anos";51566,89745352;48383,36023672
"CEILÂNDIA";"16 a 24 anos";40162,79037528;37180,1376414
"CEILÂNDIA";"25 a 34 anos";31867,59603156;35637,43930146
"CEILÂNDIA";"35 a 44 anos";36997,65275406;40220,04136194
"CEILÂNDIA";"45 a 59 anos";35401,28073658;41418,20768196
